Nombre,Email,Gender,Stock
Florrie Laidel,flaidel9o@webs.com,Female,"MGP Ingredients, Inc."
Auguste Pepperd,apepperd9p@wordpress.com,Female,CubeSmart
Thane Lethem,tlethem9q@quantcast.com,Male,"Tabula Rasa HealthCare, Inc."
Dorri Ibbetson,dibbetson9r@multiply.com,Genderqueer,Macatawa Bank Corporation
Skyler Dust,sdust9s@yahoo.com,Agender,Sanofi
Milton Caldow,mcaldow9t@tinypic.com,Polygender,First Trust High Income ETF
Jess Evennett,jevennett9u@foxnews.com,Male,Peapack-Gladstone Financial Corporation
Silvain Dooney,sdooney9v@devhub.com,Male,"G1 Therapeutics, Inc."
Rutter Casserly,rcasserly9w@rediff.com,Male,"Perma-Fix Environmental Services, Inc."
Rochette Sains,rsains9x@meetup.com,Female,"PS Business Parks, Inc."
Lilly Yateman,lyateman9y@wisc.edu,Female,"Tyson Foods, Inc."
Keefer Bampfield,kbampfield9z@wikimedia.org,Male,Bioverativ Inc.
Genni Attkins,gattkinsa0@sciencedirect.com,Female,Park Hotels & Resorts Inc.
Rachael Ansteys,ransteysa1@storify.com,Female,Ship Finance International Limited
Carolynn Atwel,catwela2@dagondesign.com,Female,VelocityShares Daily Inverse VIX Short-Term ETN
Harmony Chantler,hchantlera3@dmoz.org,Female,Vornado Realty Trust
Humberto Fipp,hfippa4@usatoday.com,Male,Masimo Corporation
Derick Goodsell,dgoodsella5@furl.net,Polygender,VictoryShares Developed Enhanced Volatility Wtd ETF
Lothario Kenewel,lkenewela6@jiathis.com,Male,Westrock Company
Amalita Espinho,aespinhoa7@printfriendly.com,Female,West Corporation
Annmarie Scutcheon,ascutcheona8@comsenz.com,Female,NASDAQ TEST STOCK
Lenci D'Aulby,ldaulbya9@de.vu,Male,"Model N, Inc."
Krystle Boulde,kbouldeaa@quantcast.com,Female,"PrivateBancorp, Inc."
Goldi Pleasants,gpleasantsab@japanpost.jp,Female,Applied Genetic Technologies Corporation
Allyce Bathowe,abathoweac@aboutads.info,Female,"Piedmont Office Realty Trust, Inc."
Lilla Ledekker,lledekkerad@army.mil,Polygender,First Trust Cloud Computing ETF
Elias Theodore,etheodoreae@godaddy.com,Male,WSFS Financial Corporation
Kathie Cardello,kcardelloaf@mit.edu,Female,Barings Participation Investors
Tobe Leftridge,tleftridgeag@apple.com,Female,Advent/Claymore Enhanced Growth & Income Fund
Mufinella Peet,mpeetah@walmart.com,Female,"Plains All American Pipeline, L.P."
Yelena Cattell,ycattellai@yellowpages.com,Female,"SunCoke Energy, Inc."
Dyan Blackledge,dblackledgeaj@fc2.com,Female,Allstate Corporation (The)
Katherina Castard,kcastardak@last.fm,Female,Cherry Hill Mortgage Investment Corporation
Gualterio Hourston,ghourstonal@fc2.com,Male,"Biocept, Inc."
Lauren Duckers,lduckersam@washington.edu,Female,Cellect Biotechnology Ltd.
Miran Staterfield,mstaterfieldan@economist.com,Non-binary,"Parsley Energy, Inc."
Lauri Ballinger,lballingerao@sakura.ne.jp,Female,"United Bancshares, Inc."
Welby Lodovichi,wlodovichiap@comsenz.com,Male,"Alnylam Pharmaceuticals, Inc."
Bondon Quartley,bquartleyaq@cbsnews.com,Male,"Xenia Hotels & Resorts, Inc."
Kingsley Gepson,kgepsonar@google.co.jp,Male,"ONE Gas, Inc."
Leo Hosby,lhosbyas@cpanel.net,Male,"ARC Group Worldwide, Inc."
Pauly Flood,pfloodat@miibeian.gov.cn,Female,Alphabet Inc.
Martie Drakers,mdrakersau@mapy.cz,Female,Alliance California Municipal Income Fund Inc
Agnes Kleinstern,akleinsternav@mayoclinic.com,Female,Capstead Mortgage Corporation
Richard Sebrook,rsebrookaw@skyrock.com,Male,Vanguard Russell 1000 ETF
Reggie Desport,rdesportax@symantec.com,Female,Till Capital Ltd.
Staford Pithcock,spithcockay@paypal.com,Male,Voya Emerging Markets High Income Dividend Equity Fund
Evin Leadley,eleadleyaz@ucoz.com,Male,"Nustar GP Holdings, LLC"
Lucio Counter,lcounterb0@ucoz.com,Male,Pimco High Income Fund
Giustino Layhe,glayheb1@upenn.edu,Male,"SharpSpring, Inc."
Curcio Spirit,cspiritb2@abc.net.au,Male,"Town Sports International Holdings, Inc."
Padraig Osgorby,posgorbyb3@fastcompany.com,Male,Danaos Corporation
Jan Rosenblum,jrosenblumb4@bing.com,Female,Inpixon 
Francisco Bridal,fbridalb5@wsj.com,Male,Universal Display Corporation
Finlay Eves,fevesb6@taobao.com,Male,"Interpace Diagnostics Group, Inc."
Ange Frowd,afrowdb7@discovery.com,Male,National General Holdings Corp
Bondon Hoble,bhobleb8@aboutads.info,Male,Trinseo S.A.
Gothart Conrart,gconrartb9@reuters.com,Male,FIRST REPUBLIC BANK
Gar Cahani,gcahaniba@51.la,Male,Cathay General Bancorp
Alena Flewan,aflewanbb@wp.com,Female,"Apptio, Inc."
Amelia Antoniazzi,aantoniazzibc@dot.gov,Female,"PulteGroup, Inc."
Clemmy Rudinger,crudingerbd@weather.com,Female,PIMCO Income Strategy Fund
Evaleen Grzesiak,egrzesiakbe@netscape.com,Female,First Internet Bancorp
Tony Camps,tcampsbf@army.mil,Male,Kemper Corporation
Raphael Dyball,rdyballbg@ca.gov,Polygender,Nuveen Tax-Advantaged Dividend Growth Fund
Ellsworth Josephy,ejosephybh@tmall.com,Male,"Ocera Therapeutics, Inc."
Iolanthe Bice,ibicebi@dropbox.com,Female,U.S. Bancorp
Laraine Meriot,lmeriotbj@howstuffworks.com,Female,The AES Corporation
Son Gyngyll,sgyngyllbk@feedburner.com,Male,"Preferred Apartment Communities, Inc."
Vincenty Logue,vloguebl@senate.gov,Male,Western Asset Mortgage Defined Opportunity Fund Inc
Skippie Rallings,srallingsbm@who.int,Male,"M I Acquisitions, Inc."
Athena Bollom,abollombn@w3.org,Female,WebMD Health Corp
Jany Maginot,jmaginotbo@house.gov,Female,KKR Financial Holdings LLC
Sampson Petracci,spetraccibp@google.com,Male,"LG Display Co., Ltd."
Lizzie Minigo,lminigobq@godaddy.com,Female,Electrum Special Acquisition Corporation
Hodge Walls,hwallsbr@cbslocal.com,Male,Eaton Vance Tax-Managed Diversified Equity Income Fund
Cari Metschke,cmetschkebs@weather.com,Female,Xperi Corporation
Sybilla Diprose,sdiprosebt@boston.com,Female,Arbor Realty Trust
Glenden Aimable,gaimablebu@a8.net,Male,Eaton Vance Enhance Equity Income Fund
Tobi Tinmouth,ttinmouthbv@ihg.com,Female,Willis Lease Finance Corporation
Maurice Biasioli,mbiasiolibw@upenn.edu,Male,Nuveen Mortgage Opportunity Term Fund
Gay Maudlin,gmaudlinbx@tinyurl.com,Agender,General Finance Corporation
Peyter Bell,pbellby@symantec.com,Male,Silvercrest Asset Management Group Inc.
Anstice Stollberger,astollbergerbz@people.com.cn,Female,"Famous Dave's of America, Inc."
Robb Kirsop,rkirsopc0@ocn.ne.jp,Male,"On Deck Capital, Inc."
Barron Stanesby,bstanesbyc1@webmd.com,Male,"Pandora Media, Inc."
Courtney Abramowitch,cabramowitchc2@livejournal.com,Male,"Archrock Partners, L.P."
Danila Lansdowne,dlansdownec3@gov.uk,Female,CAE Inc
Winn Gamblin,wgamblinc4@gravatar.com,Male,"Global Ship Lease, Inc."
Chet Fessby,cfessbyc5@google.pl,Male,Equitable Financial Corp.
Jeramey Larive,jlarivec6@github.com,Male,Cross Timbers Royalty Trust
Isidora Chrishop,ichrishopc7@ucsd.edu,Female,Capital One Financial Corporation
Shanon Serjent,sserjentc8@barnesandnoble.com,Female,Bank of America Corporation
Courtenay Elph,celphc9@adobe.com,Female,"Lithia Motors, Inc."
Sunny Jean,sjeanca@independent.co.uk,Male,"USA Technologies, Inc."
Tomaso Shimmans,tshimmanscb@cornell.edu,Male,Washington Real Estate Investment Trust
Juieta Hazelby,jhazelbycc@yale.edu,Female,Vedanta  Limited
Reube Baggallay,rbaggallaycd@sciencedaily.com,Male,"Global Self Storage, Inc."
Wilbert Studdert,wstuddertce@newsvine.com,Male,Aircastle Limited
Eb Burgher,eburghercf@ucla.edu,Male,"Biocept, Inc."
Shoshana Paolone,spaolonecg@deviantart.com,Female,Modern Media Acquisition Corp.
Tull Catchpole,tcatchpolech@ow.ly,Male,The AES Corporation
Ansell Norres,anorresci@sphinn.com,Male,Hailiang Education Group Inc.
Sax Curwen,scurwencj@themeforest.net,Male,"American Software, Inc."
Virgie Battson,vbattsonck@rakuten.co.jp,Male,NASDAQ TEST STOCK
Courtney Lucius,cluciuscl@free.fr,Male,Petroquest Energy Inc
Roddy Mapis,rmapiscm@kickstarter.com,Male,Enersys
Eldon Saggers,esaggerscn@bloglines.com,Polygender,Veritiv Corporation
Shane Broadway,sbroadwayco@businesswire.com,Agender,Boeing Company (The)
Carolina Siret,csiretcp@va.gov,Female,"Ashford Hospitality Prime, Inc."
Amara Chimenti,achimenticq@si.edu,Bigender,Senior Housing Properties Trust
Mayor Lattin,mlattincr@freewebs.com,Male,"PhotoMedex, Inc."
Falito Yandell,fyandellcs@omniture.com,Male,First Trust Intermediate Duration Preferred & Income Fund
Colan Thaxton,cthaxtonct@163.com,Male,"Interactive Brokers Group, Inc."
Horacio Colicot,hcolicotcu@networksolutions.com,Bigender,"ONE Gas, Inc."
Tom Raymont,traymontcv@sohu.com,Male,"Crown Holdings, Inc."
Celestyn Imbrey,cimbreycw@zdnet.com,Female,"Digital Realty Trust, Inc."
Mart MacCallum,mmaccallumcx@deliciousdays.com,Male,SAP SE
Jsandye Willett,jwillettcy@mapquest.com,Female,American Homes 4 Rent
Bria Piggot,bpiggotcz@jiathis.com,Female,Adecoagro S.A.
Jamill Rocks,jrocksd0@bbc.co.uk,Male,Wins Finance Holdings Inc.
Gabrielle Baroche,gbaroched1@bloglines.com,Female,Tata Motors Ltd
Erminia Sweetmore,esweetmored2@storify.com,Female,IRIDEX Corporation
Gerda Marini,gmarinid3@prlog.org,Female,"MaxPoint Interactive, Inc."
Sheeree Bowne,sbowned4@phoca.cz,Female,BiondVax Pharmaceuticals Ltd.
Lorenza Barras,lbarrasd5@xing.com,Female,Farmland Partners Inc.
Myrilla O'Donnelly,modonnellyd6@alibaba.com,Female,Bank of America Corporation
Sibylla Elphey,selpheyd7@google.com,Female,Fresenius Medical Care Corporation
Amaleta Pyvis,apyvisd8@arstechnica.com,Female,OUTFRONT Media Inc.
Felix Philpot,fphilpotd9@techcrunch.com,Male,"Teligent, Inc."
Elfreda Heintsch,eheintschda@spiegel.de,Female,"Covenant Transportation Group, Inc."
Meyer Gregoraci,mgregoracidb@tumblr.com,Male,"Bankrate, Inc."
Gaby Dran,gdrandc@livejournal.com,Female,Concordia International Corp.
Colas Bontoft,cbontoftdd@phoca.cz,Male,"Atlantic Capital Bancshares, Inc."
Skippie Warsop,swarsopde@arizona.edu,Male,Bellatrix Exploration Ltd
Kial Lammert,klammertdf@webmd.com,Female,Concord Medical Services Holdings Limited
Roda Heinecke,rheineckedg@chron.com,Female,Hallador Energy Company
Nev Tedahl,ntedahldh@cbc.ca,Male,The Long-Term Care ETF
Noby Spieck,nspieckdi@about.com,Male,Nuveen Pennsylvania Quality Municipal Income Fund
Enoch MacCheyne,emaccheynedj@blinklist.com,Male,"Simulations Plus, Inc."
Cassi Hevey,cheveydk@howstuffworks.com,Female,"ChemoCentryx, Inc."
Aluin Wehden,awehdendl@lycos.com,Male,Pingtan Marine Enterprise Ltd.
Sid Scrine,sscrinedm@samsung.com,Male,"FRP Holdings, Inc."
Mei Craske,mcraskedn@usgs.gov,Female,"Digital Realty Trust, Inc."
Paxon Mully,pmullydo@usa.gov,Male,Xinyuan Real Estate Co Ltd
Bear Steffan,bsteffandp@domainmarket.com,Male,CVR Energy Inc.
Alberik Beldom,abeldomdq@unicef.org,Male,"Brooks Automation, Inc."
Janeta Sheppard,jshepparddr@economist.com,Female,Container Store (The)
Daniele Jacson,djacsonds@forbes.com,Female,Stellus Capital Investment Corporation
Ned Ribey,nribeydt@unblog.fr,Male,"Axon Enterprise, Inc."
Constantino Dyers,cdyersdu@eepurl.com,Male,CrossAmerica Partners LP
Bab MacParland,bmacparlanddv@tiny.cc,Female,"Highwoods Properties, Inc."
Ethe Eich,eeichdw@jalbum.net,Male,"Sprott Focus Trust, Inc."
Hill Tunstall,htunstalldx@nyu.edu,Male,NVE Corporation
Dorene Cheeld,dcheelddy@live.com,Genderfluid,"Templeton Global Income Fund, Inc."
Loralyn Gorler,lgorlerdz@oracle.com,Female,"Ventas Realty, Limited Partnership // Ventas Capital Corporati"
Basilio Clowes,bclowese0@devhub.com,Male,"TG Therapeutics, Inc."
Damien Pfeffle,dpfefflee1@nydailynews.com,Male,"Woodward, Inc."
Vasilis Wavell,vwavelle2@blog.com,Male,Ares Capital Corporation
Merralee Cressor,mcressore3@flavors.me,Female,Royal Bank Scotland plc (The)
Randee Pottinger,rpottingere4@bloomberg.com,Female,Sotherly Hotels Inc.
Thayne Dorre,tdorree5@jalbum.net,Male,"Superior Industries International, Inc."
Towny Cuesta,tcuestae6@berkeley.edu,Male,"Stanley Furniture Company, Inc."
Hewitt Albasini,halbasinie7@chronoengine.com,Male,"Duff & Phelps Utilities Tax-Free Income, Inc."
Thorn Vaughan,tvaughane8@cmu.edu,Male,"Richmont Mines, Inc."
Marney Marcam,mmarcame9@umn.edu,Female,Carolina Financial Corporation
Hynda Lowell,hlowellea@adobe.com,Female,"Pain Therapeutics, Inc."
Niven Skade,nskadeeb@slate.com,Male,"A10 Networks, Inc."
Shir Jochen,sjochenec@google.ru,Female,Fortive Corporation
Hamnet Lancetter,hlancettered@guardian.co.uk,Male,Pangaea Logistics Solutions Ltd.
Jacintha Lippitt,jlippittee@plala.or.jp,Female,Las Vegas Sands Corp.
Emalee Saer,esaeref@webeden.co.uk,Female,Athene Holding Ltd.
Hogan Brackley,hbrackleyeg@people.com.cn,Male,Conatus Pharmaceuticals Inc.
Gilberta Eschalotte,geschalotteeh@irs.gov,Female,Function(x) Inc.
Darcy Spry,dspryei@mayoclinic.com,Polygender,"Marchex, Inc."
Padriac Kmieciak,pkmieciakej@vimeo.com,Male,InfoSonics Corp
Mona Shields,mshieldsek@toplist.cz,Female,Seagate Technology PLC
Aylmer Hollingby,ahollingbyel@tmall.com,Male,Cloud Peak Energy Inc
Steward Bissill,sbissillem@t-online.de,Male,"Maiden Holdings, Ltd."
Bernita Mattussevich,bmattussevichen@surveymonkey.com,Female,W.R. Grace & Co.
Ginelle Mellodey,gmellodeyeo@edublogs.org,Female,Cosan Limited
Tamara Hamley,thamleyep@netlog.com,Female,Summit Therapeutics plc
Conny Beet,cbeeteq@shareasale.com,Female,Blackstone / GSO Strategic Credit Fund
Siobhan Gilmartin,sgilmartiner@xing.com,Female,"Rudolph Technologies, Inc."
Ernest Drinkhall,edrinkhalles@wikipedia.org,Male,Astronics Corporation
Elwood Hamper,ehamperet@narod.ru,Male,Qualstar Corporation
Trevor Boutellier,tboutelliereu@mac.com,Male,Northwest Natural Gas Company
Haley Agar,hagarev@usa.gov,Male,"Safe Bulkers, Inc"
Shantee Darrel,sdarrelew@topsy.com,Female,Tenaris S.A.
George Copner,gcopnerex@gnu.org,Female,General Finance Corporation
Brice Vlahos,bvlahosey@chronoengine.com,Male,TEGNA Inc.
Seth Garrould,sgarrouldez@google.com.hk,Male,Guaranty Bancorp
Garreth Kiddy,gkiddyf0@indiegogo.com,Genderfluid,"Pain Therapeutics, Inc."
Phillie Crisell,pcrisellf1@yandex.ru,Female,"Luby's, Inc."
Aguie Orr,aorrf2@symantec.com,Agender,The Cushing MLP Total Return Fund
Raynor Lugton,rlugtonf3@ifeng.com,Male,Triangle Capital Corporation
Winnah Lebrun,wlebrunf4@jalbum.net,Female,"Ollie's Bargain Outlet Holdings, Inc."
Hugues Stockport,hstockportf5@ning.com,Male,Blackrock Municipal 2020 Term Trust
Kissee Heis,kheisf6@japanpost.jp,Female,"Inovalon Holdings, Inc."
Dare Coonihan,dcoonihanf7@ameblo.jp,Male,"MercadoLibre, Inc."
Essie Trinder,etrinderf8@ow.ly,Female,"Republic First Bancorp, Inc."
Sharona Goulston,sgoulstonf9@odnoklassniki.ru,Female,Pioneer Municipal High Income Trust
Sayer Antonomolii,santonomoliifa@amazonaws.com,Male,"Sunesis Pharmaceuticals, Inc."
Veronike Simmank,vsimmankfb@marriott.com,Female,"Selective Insurance Group, Inc."
Trey Riediger,triedigerfc@dailymail.co.uk,Male,Oasmia Pharmaceutical AB
Liuka Varty,lvartyfd@tripod.com,Female,ePlus inc.
Amalea Ertel,aertelfe@liveinternet.ru,Female,Vident Core U.S. Bond Strategy Fund
Sancho Paton,spatonff@goo.gl,Male,Extra Space Storage Inc
Spense MacKilroe,smackilroefg@xing.com,Male,Park Electrochemical Corporation
Lacee Champness,lchampnessfh@mozilla.org,Female,Inotek Pharmaceuticals Corporation
Kylie Inggall,kinggallfi@bbb.org,Female,"Patriot Transportation Holding, Inc."
Yolane Tuffield,ytuffieldfj@unicef.org,Female,"Lands' End, Inc."
Danie Garie,dgariefk@51.la,Male,"Image Sensing Systems, Inc."
Carlotta O'Shirine,coshirinefl@sitemeter.com,Female,Exterran Corporation
Pennie Woolsey,pwoolseyfm@infoseek.co.jp,Female,Wells Fargo & Company
Abagael Imlaw,aimlawfn@squidoo.com,Non-binary,PowerShares DWA Utilities Momentum Portfolio
Edythe Snoden,esnodenfo@joomla.org,Genderfluid,Therapix Biosciences Ltd.
Kirsti Reichhardt,kreichhardtfp@yolasite.com,Female,"Knight Transportation, Inc."
Caritta Elcott,celcottfq@cbc.ca,Female,"Compass Minerals International, Inc."
Cassey Calcut,ccalcutfr@skype.com,Female,Wells Fargo & Company
Raymond Rumin,rruminfs@ihg.com,Male,Wells Fargo & Company
Rosemarie Thoms,rthomsft@seattletimes.com,Female,Entergy Corporation
Esra Mence,emencefu@prnewswire.com,Male,"Templeton Global Income Fund, Inc."
Nanette Sisneros,nsisnerosfv@paginegialle.it,Female,"Summit Hotel Properties, Inc."
Dalton Benard,dbenardfw@elpais.com,Male,Global Partners LP
Joleen Bamlett,jbamlettfx@is.gd,Female,"Ruth's Hospitality Group, Inc."
Fionna Edgcumbe,fedgcumbefy@topsy.com,Agender,Globant S.A.
Merralee Dickman,mdickmanfz@aol.com,Female,Dynegy Inc.
Garrett Grealish,ggrealishg0@intel.com,Male,Pimco Income Opportunity Fund
Jarvis Maffia,jmaffiag1@blogtalkradio.com,Male,"Allscripts Healthcare Solutions, Inc."
Marris Sawdy,msawdyg2@zdnet.com,Female,"NeuroMetrix, Inc."
Hobart Deakins,hdeakinsg3@so-net.ne.jp,Genderfluid,Vanguard Russell 1000 Value ETF
Kathi Josef,kjosefg4@bbc.co.uk,Female,First Busey Corporation
Chlo Siss,csissg5@pbs.org,Female,Global X SuperDividend Alternatives ETF
Loretta Denisyuk,ldenisyukg6@google.com,Female,Shenandoah Telecommunications Co
Cammy Biermatowicz,cbiermatowiczg7@nymag.com,Female,"Medical Transcription Billing, Corp."
Darnall Baggallay,dbaggallayg8@wufoo.com,Male,"Lee Enterprises, Incorporated"
Quentin Betun,qbetung9@foxnews.com,Female,"Texas Capital Bancshares, Inc."
Lind Cradock,lcradockga@japanpost.jp,Female,PAVmed Inc.
Franciska Whitnell,fwhitnellgb@jugem.jp,Female,Jensyn Acquistion Corp.
Wally Engledow,wengledowgc@vinaora.com,Male,PowerShares High Yield Equity Dividend Achievers Portfolio
Zachariah Rowson,zrowsongd@earthlink.net,Male,Columbia Sportswear Company
Sile Wheelwright,swheelwrightge@youtube.com,Female,Apollo Investment Corporation
Klemens Simionato,ksimionatogf@merriam-webster.com,Male,"Kura Oncology, Inc."
Tabitha Torritti,ttorrittigg@barnesandnoble.com,Female,Bank Of New York Mellon Corporation (The)
Raymond Thunderchief,rthunderchiefgh@tinypic.com,Male,American States Water Company
Dino Gillott,dgillottgi@php.net,Male,United Community Bancorp
Isobel Ariss,iarissgj@skype.com,Female,"A V Homes, Inc."
Darline Beales,dbealesgk@army.mil,Genderqueer,"Trupanion, Inc."
Penrod Benoist,pbenoistgl@spiegel.de,Male,Quarterhill Inc.
Brit Orgen,borgengm@infoseek.co.jp,Female,Digimarc Corporation
Chaddie Arrow,carrowgn@unblog.fr,Male,Fibrocell Science Inc
Renelle Ames,ramesgo@state.tx.us,Female,"Oncobiologics, Inc."
Ario Merdew,amerdewgp@g.co,Male,SecureWorks Corp.
Elmo Taree,etareegq@omniture.com,Male,Suncor Energy  Inc.
Marilee MacQuaker,mmacquakergr@jalbum.net,Female,Apollo Commercial Real Estate Finance
Darwin Fludder,dfluddergs@ebay.co.uk,Male,Sensient Technologies Corporation
Warden Kivelhan,wkivelhangt@canalblog.com,Male,Sequans Communications S.A.
Town Mc Meekan,tmcgu@scribd.com,Male,The Health and Fitness ETF
Willy Felgate,wfelgategv@chicagotribune.com,Genderfluid,Validea Market Legends ETF
Babb Catterick,bcatterickgw@google.ca,Female,Hingham Institution for Savings
Augustine McKinney,amckinneygx@unblog.fr,Male,Sohu.com Inc.
Estrellita Conneely,econneelygy@pbs.org,Female,"Cellectar Biosciences, Inc."
Maurene Digweed,mdigweedgz@shop-pro.jp,Female,Principal Shareholder Yield Index ETF
Hieronymus Siveter,hsiveterh0@reference.com,Male,"American Financial Group, Inc."
Drusy Sarrell,dsarrellh1@jiathis.com,Female,"Spartan Motors, Inc."
Dwayne Flasby,dflasbyh2@vkontakte.ru,Male,Colonial Municipal Income Trust
Salvidor Beaford,sbeafordh3@jugem.jp,Male,Cellect Biotechnology Ltd.
Nils Syalvester,nsyalvesterh4@mediafire.com,Male,Genworth Financial Inc
Barclay Perell,bperellh5@bluehost.com,Male,Guangshen Railway Company Limited
Lida Barfitt,lbarfitth6@flavors.me,Female,H. B. Fuller Company
Inglebert Hans,ihansh7@icq.com,Male,Macquarie/First Trust Global
Charis Voysey,cvoyseyh8@icio.us,Female,"Guess?, Inc."
Yank Horlick,yhorlickh9@hud.gov,Male,"OneMain Holdings, Inc."
Darn Bindon,dbindonha@omniture.com,Male,California Water  Service Group Holding
Jilleen Terrelly,jterrellyhb@intel.com,Female,"Acadia Healthcare Company, Inc."
Henrietta Casetti,hcasettihc@ca.gov,Female,"Cohu, Inc."
Robby Cullrford,rcullrfordhd@ibm.com,Male,Cone Midstream Partners LP
Gil Surridge,gsurridgehe@netscape.com,Male,SpartanNash Company
Ileane Swait,iswaithf@prnewswire.com,Female,"Franklin Financial Network, Inc."
Zack Wingeatt,zwingeatthg@zimbio.com,Male,"CenturyLink, Inc."
Peggie Dumbreck,pdumbreckhh@nifty.com,Female,Performant Financial Corporation
Daisy Danilishin,ddanilishinhi@jalbum.net,Female,RLI Corp.
Verla Leynagh,vleynaghhj@independent.co.uk,Female,"Dynex Capital, Inc."
Cyril Sawer,csawerhk@rakuten.co.jp,Male,"Harte-Hanks, Inc."
Chester Mival,cmivalhl@wikipedia.org,Male,Capstead Mortgage Corporation
Bentlee Truter,btruterhm@answers.com,Male,Wins Finance Holdings Inc.
Mariana Lightbourne,mlightbournehn@blog.com,Female,"Cohen & Steers Global Income Builder, Inc."
Edgar Demogeot,edemogeotho@washingtonpost.com,Male,BlackRock New York Investment Quality Municipal Trust Inc. (Th
Harrietta Spickett,hspicketthp@tamu.edu,Female,"SITO Mobile, Ltd."
Tove Rasher,trasherhq@nymag.com,Female,Mountain Province Diamonds Inc.
Talbot McGilvray,tmcgilvrayhr@symantec.com,Agender,"Old Second Bancorp, Inc."
Marijo Maryott,mmaryotths@google.es,Female,First Acceptance Corporation
Vanya Wiseman,vwisemanht@cornell.edu,Male,AMREP Corporation
Berne Farleigh,bfarleighhu@pcworld.com,Male,"Burlington Stores, Inc."
Brigida Bachmann,bbachmannhv@surveymonkey.com,Female,Hingham Institution for Savings
Luciana Ionnisian,lionnisianhw@yahoo.co.jp,Female,"Midland States Bancorp, Inc."
Marietta Gloy,mgloyhx@wisc.edu,Male,"LivePerson, Inc."
Kayley MacCarroll,kmaccarrollhy@qq.com,Female,"Magyar Bancorp, Inc."
Town Wincer,twincerhz@fastcompany.com,Male,"NRG Yield, Inc."
Grantley Filipiak,gfilipiaki0@paginegialle.it,Male,Internap Corporation
Dorris Bloom,dbloomi1@webeden.co.uk,Female,Bridgford Foods Corporation
Pavlov Cicccitti,pcicccittii2@home.pl,Male,"Netlist, Inc."
Randal Bariball,rbariballi3@yandex.ru,Male,Enbridge Energy Management LLC
Carson Medlen,cmedleni4@xing.com,Male,"BioScrip, Inc."
Humberto Ettels,hettelsi5@whitehouse.gov,Male,Jagged Peak Energy Inc.
Daryle Aish,daishi6@pbs.org,Agender,"Simulations Plus, Inc."
Patty Drakard,pdrakardi7@cdc.gov,Male,FIRST REPUBLIC BANK
Verena MacCleod,vmaccleodi8@mozilla.org,Female,Jensyn Acquistion Corp.
Tynan Kellock,tkellocki9@dell.com,Male,Mosaic Company (The)
Rog Becom,rbecomia@archive.org,Male,Qwest Corporation
Allis Haruard,aharuardib@e-recht24.de,Female,"American Electric Technologies, Inc."
Ber Dawidowitsch,bdawidowitschic@youtu.be,Male,Harmony Merger Corp.
Kaitlynn Erat,keratid@google.nl,Female,"Source Capital, Inc."
Jean Oxtiby,joxtibyie@flavors.me,Bigender,Noah Holdings Ltd.
Moria McGilvary,mmcgilvaryif@hud.gov,Female,First American Corporation (The)
Cary Gorwood,cgorwoodig@alibaba.com,Male,Parker Drilling Company
Deloris Vannar,dvannarih@mozilla.org,Female,"MS Income Securities, Inc."
Robinetta Baison,rbaisonii@boston.com,Agender,"Heat Biologics, Inc."
Kristel Drewery,kdreweryij@walmart.com,Female,Royal Bank Scotland plc (The)
Hollis Devonside,hdevonsideik@symantec.com,Male,"Genesis Energy, L.P."
Augy Anfrey,aanfreyil@businesswire.com,Male,"Tabula Rasa HealthCare, Inc."
Jeno Mayhou,jmayhouim@ezinearticles.com,Genderqueer,The Gabelli Healthcare & Wellness Trust
Romy McSporon,rmcsporonin@barnesandnoble.com,Female,iShares MSCI New Zealand Capped ETF
Herminia Formby,hformbyio@myspace.com,Female,"Hostess Brands, Inc."
Gabby Fer,gferip@squarespace.com,Male,"Impax Laboratories, Inc."
Giorgia Donaghy,gdonaghyiq@storify.com,Female,"Banc of California, Inc."
Orly Gottelier,ogottelierir@comsenz.com,Female,Affimed N.V.
Valencia Durbridge,vdurbridgeis@reuters.com,Female,"Compania Cervecerias Unidas, S.A."
Darcee Swaddle,dswaddleit@weebly.com,Female,"Children's Place, Inc. (The)"
Sena Petruszka,spetruszkaiu@twitter.com,Female,Brookfield Business Partners L.P.
Waverly Wardingly,wwardinglyiv@stanford.edu,Male,"Ocera Therapeutics, Inc."
Iain Onn,ionniw@360.cn,Male,"Vital Therapies, Inc."
Lynn Rickaert,lrickaertix@tripod.com,Female,First Potomac Realty Trust
Kimberli McCard,kmccardiy@theatlantic.com,Female,"Community First Bancshares, Inc."
Sydney Ditchett,sditchettiz@symantec.com,Male,"I.D. Systems, Inc."
Pasquale Meader,pmeaderj0@oracle.com,Male,vTv Therapeutics Inc.
Dino Nolte,dnoltej1@independent.co.uk,Male,"Taubman Centers, Inc."
Tully Gini,tginij2@nationalgeographic.com,Male,"Spirit Aerosystems Holdings, Inc."
Percy Stibbs,pstibbsj3@vk.com,Male,Urstadt Biddle Properties Inc.
Melvyn Booi,mbooij4@e-recht24.de,Male,"Texas Capital Bancshares, Inc."
Ravid Mullin,rmullinj5@loc.gov,Male,Horace Mann Educators Corporation
Becca Borman,bbormanj6@slashdot.org,Female,"F5 Networks, Inc."
Tobi Johnsee,tjohnseej7@sciencedirect.com,Female,YPF Sociedad Anonima
Kassandra Meese,kmeesej8@cam.ac.uk,Female,U.S. Energy Corp.
Ase Kielt,akieltj9@ihg.com,Agender,KKR & Co. L.P.
